Product Name,Category,Sub-Category,revenue,profit,units_sold
Cubify CubeX 3D Printer Double Head Print,Technology,Machines,11100.0,-8880.0,9.0
Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,16830.0,-4590.0,18.0
Cubify CubeX 3D Printer Triple Head Print,Technology,Machines,8000.0,-3840.0,4.0
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,Tables,9918.0,-2876.0,27.0
Bush Advantage Collection Racetrack Conference Table,Furniture,Tables,9545.0,-1934.0,33.0
GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,17965.0,-1878.0,27.0
Cisco TelePresence System EX90 Videoconferencing Unit,Technology,Machines,22638.0,-1811.0,6.0
Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,16656.0,-1299.0,22.0
Balt Solid Wood Round Tables,Furniture,Tables,6519.0,-1201.0,19.0
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,Tables,1706.0,-1148.0,15.0
