period,revenue,prev_quarter_revenue,qoq_change_pct
2011-Q1,74448.0,,
2011-Q2,86539.0,74448.0,16.2
2011-Q3,143633.0,86539.0,66.0
2011-Q4,179628.0,143633.0,25.1
2012-Q1,68852.0,179628.0,-61.7
2012-Q2,89124.0,68852.0,29.4
2012-Q3,130260.0,89124.0,46.2
2012-Q4,182297.0,130260.0,39.9
2013-Q1,92596.0,182297.0,-49.2
2013-Q2,135370.0,92596.0,46.2
2013-Q3,144614.0,135370.0,6.8
2013-Q4,235893.0,144614.0,63.1
2014-Q1,118896.0,235893.0,-49.6
2014-Q2,134023.0,118896.0,12.7
2014-Q3,200433.0,134023.0,49.6
2014-Q4,280595.0,200433.0,40.0
